nucleoside	monoisotopic_mass	modification_rate
A	267.09675	1.0
G	283.09167	1.0
C	243.08552	1.0
U	244.06954	1.0
1A	281.1124	1.0
2A	281.1124	1.0
0A	281.1124	1.0
8A	281.1124	1.0
6A	281.1124	1.0
19A	282.0964	1.0
09A	282.0964	1.0
67A	295.0917	1.0
01A	295.1281	1.0
28A	295.1281	1.0
06A	295.1281	1.0
66A	295.1281	1.0
019A	296.1121	1.0
68A	297.1073	1.0
64A	309.1073	1.0
066A	309.1437	1.0
621A	327.1001	1.0
61A	335.1594	1.0
60A	351.1543	1.0
65A	368.108	1.0
2161A	381.1471	1.0
69A	394.1237	1.0
2160A	397.142	1.0
62A	412.1343	1.0
63A	426.1499	1.0
662A	426.1499	1.0
2165A	428.1292	1.0
2164A	440.1114	1.0
2162A	458.122	1.0
2163A	472.1376	1.0
00A	479.1053	1.0
1G	297.1073	1.0
0G	297.1073	1.0
2G	297.1073	1.0
7G	299.123	1.0
01G	311.123	1.0
02G	311.123	1.0
22G	311.123	1.0
27G	313.1386	1.0
4G	321.1073	1.0
022G	325.1386	1.0
027G	327.1543	1.0
227G	327.1543	1.0
42G	335.123	1.0
34G	335.123	1.0
342G	349.1386	1.0
47G	422.155	1.0
347G	436.1706	1.0
348G	450.1863	1.0
3470G	452.1655	1.0
3480G	466.1812	1.0
00G	495.1003	1.0
3483G	508.1918	1.0
34830G	524.1867	1.0
34832G	540.1816	1.0
100G	307.0917	1.0
101G	311.123	1.0
103G	324.1182	1.0
10G	409.1597	1.0
102G	425.1547	1.0
105G	538.2023	1.0
104G	571.2126	1.0
106G	571.2126	1.0
001C	245.081184	1.0
002U	316.12705094	1.0
003U	246.06519959	1.0
004C	315.14303535	1.0
02U	274.06234252	1.0
03U	272.1008362	1.0
042C	299.11173523	1.0
044C	285.13247067	1.0
04C	271.11682061	1.0
051U	345.11721453	1.0
0521U	330.1063155	1.0
0522U	346.10123012	1.0
053U	315.10664985	1.0
0583U	355.17433547	1.0
05C	271.11682061	1.0
05U	272.1008362	1.0
071C	285.09608517	1.0
09U	258.08518614	1.0
0C	257.10117055	1.0
0U	258.08518614	1.0
1309U	359.13286459	1.0
19U	258.08518614	1.0
20510U	336.07297055	1.0
20511U	350.08862061	1.0
2051U	273.09608517	1.0
20C	352.17332714	1.0
20U	307.04642146	1.0
21511U	439.21409209	1.0
2151U	483.20392133	1.0
21C	371.18048347	1.0
21U	396.17189294	1.0
2510U	289.07324155	1.0
2511U	303.08889161	1.0
251U	347.07872085	1.0
2521U	332.06782182	1.0
253U	317.06815617	1.0
2540U	318.05217176	1.0
254U	397.06135653	1.0
2583U	357.13584179	1.0
2C	259.06267687	1.0
2U	260.04669246	1.0
308U	347.13286459	1.0
309U	345.11721453	1.0
30U	345.11721453	1.0
39U	258.08518614	1.0
3C	257.10117055	1.0
3U	258.08518614	1.0
42C	285.09608517	1.0
44C	271.11682061	1.0
4C	257.10117055	1.0
501U	274.08010076	1.0
502U	318.06993	1.0
503U	332.08558006	1.0
50C	259.08043511	1.0
50U	260.0644507	1.0
510U	273.09608517	1.0
511U	287.11173523	1.0
51C	273.09608517	1.0
51U	331.10156447	1.0
520U	318.06993	1.0
521U	316.09066544	1.0
522U	332.08558006	1.0
52U	302.07501538	1.0
531U	317.08591441	1.0
53U	301.09099979	1.0
54U	381.08420015	1.0
55U	283.08043511	1.0
583U	341.15868541	1.0
58U	260.1008362	1.0
5C	257.10117055	1.0
5U	258.08518614	1.0
71C	271.08043511	1.0
74U	260.04669246	1.0
8U	246.08518614	1.0
9U	244.06953608	1.0
0503U	346.10123012	1.0
051C	273.09608517	1.0
21510U	425.19844	1.0
